,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
3/9/2024,"1,379.3","1,334.9","1,276.4","1,232.9","1,226.1","1,222.5","1,236.4","1,297.8","1,386.4","1,509.0","1,562.0","1,595.0","1,593.8","1,574.2","1,582.6","1,572.0","1,556.2","1,526.4","1,551.0","1,561.5","1,536.3","1,522.8","1,489.9","1,444.5"
3/10/2024,"1,424.1","1,359.8","1,307.3","1,269.0","1,235.3","1,210.9","1,218.7","1,166.4","1,225.9","1,252.3","1,305.8","1,361.0","1,422.0","1,428.8","1,438.8","1,456.5","1,456.3","1,422.3","1,483.3","1,513.5","1,550.2","1,564.7","1,527.8","1,465.0"
3/11/2024,"1,386.1","1,321.0","1,276.6","1,253.3","1,230.8","1,271.4","1,285.2","1,485.5","1,603.6","1,695.2","1,746.7","1,764.1","1,771.6","1,804.7","1,824.8","1,795.0","1,740.0","1,607.6","1,589.7","1,589.4","1,582.5","1,580.0","1,555.3","1,492.4"
3/12/2024,"1,405.7","1,342.5","1,314.4","1,278.4","1,247.6","1,285.4","1,294.2","1,461.2","1,550.6","1,641.6","1,696.8","1,699.9","1,730.8","1,768.2","1,786.0","1,774.8","1,716.3","1,585.5","1,540.9","1,560.3","1,553.7","1,559.2","1,527.2","1,446.2"
3/13/2024,"1,380.8","1,318.3","1,281.8","1,240.6","1,232.1","1,264.3","1,274.6","1,459.7","1,559.6","1,657.5","1,701.9","1,724.1","1,749.5","1,787.7","1,805.5","1,820.1","1,729.4","1,612.6","1,596.9","1,600.4","1,596.3","1,597.3","1,552.9","1,470.1"
3/14/2024,"1,409.2","1,343.4","1,305.1","1,265.2","1,239.9","1,267.4","1,283.4","1,472.4","1,579.9","1,640.8","1,709.0","1,772.8","1,792.2","1,832.8","1,831.2","1,830.2","1,773.7","1,653.0","1,640.1","1,638.0","1,629.1","1,612.9","1,586.8","1,510.3"
3/15/2024,"1,455.8","1,394.6","1,345.6","1,308.0","1,284.1","1,301.3","1,322.2","1,503.0","1,591.7","1,611.6","1,686.5","1,725.6","1,744.7","1,792.9","1,814.6","1,791.9","1,745.6","1,614.4","1,619.4","1,615.4","1,592.4","1,573.2","1,539.1","1,489.3"
3/16/2024,"1,423.7","1,377.5","1,331.7","1,303.1","1,273.8","1,276.6","1,277.1","1,324.2","1,433.0","1,495.7","1,560.1","1,605.7","1,605.6","1,620.8","1,597.7","1,592.4","1,554.0","1,519.6","1,550.3","1,551.5","1,537.6","1,523.0","1,493.4","1,454.2"
3/17/2024,"1,406.8","1,348.3","1,311.0","1,272.7","1,246.4","1,226.3","1,188.7","1,178.8","1,220.7","1,275.0","1,348.3","1,385.7","1,414.2","1,428.7","1,443.9","1,457.2","1,406.4","1,393.6","1,468.8","1,496.1","1,522.3","1,524.9","1,501.4","1,436.8"
3/18/2024,"1,375.9","1,320.4","1,265.0","1,233.1","1,199.7","1,247.7","1,286.6","1,453.8","1,584.0","1,643.0","1,691.2","1,733.4","1,741.9","1,789.9","1,813.1","1,810.9","1,748.7","1,559.5","1,603.3","1,620.6","1,601.0","1,604.2","1,558.2","1,486.6"
3/19/2024,"1,410.5","1,341.4","1,310.3","1,269.5","1,253.4","1,276.6","1,303.1","1,485.8","1,559.6","1,637.8","1,706.5","1,747.6","1,774.5","1,809.5","1,797.7","1,768.0","1,730.7","1,573.5","1,622.4","1,631.2","1,633.0","1,598.2","1,564.4","1,488.9"
3/20/2024,"1,425.9","1,366.0","1,326.1","1,287.1","1,264.3","1,302.0","1,303.2","1,441.5","1,524.3","1,603.3","1,693.0","1,744.4","1,758.9","1,778.5","1,786.4","1,808.8","1,752.0","1,602.1","1,635.9","1,611.7","1,598.9","1,590.7","1,561.9","1,498.2"
3/21/2024,"1,408.5","1,348.7","1,307.8","1,270.7","1,238.9","1,263.1","1,271.7","1,469.6","1,559.5","1,636.8","1,710.5","1,742.4","1,764.6","1,803.3","1,848.6","1,843.6","1,797.5","1,671.5","1,659.0","1,654.7","1,641.1","1,628.1","1,590.6","1,510.5"
3/22/2024,"1,433.1","1,365.5","1,320.1","1,278.0","1,245.1","1,271.3","1,277.0","1,466.5","1,596.5","1,692.7","1,761.8","1,804.4","1,804.5","1,860.3","1,882.4","1,880.5","1,796.4","1,645.0","1,626.3","1,620.4","1,590.5","1,573.1","1,542.0","1,484.5"
3/23/2024,"1,419.6","1,373.4","1,318.2","1,259.1","1,229.1","1,217.4","1,223.5","1,302.8","1,404.6","1,488.3","1,544.6","1,582.7","1,584.4","1,592.9","1,593.7","1,581.3","1,552.1","1,501.0","1,528.3","1,537.8","1,513.4","1,494.9","1,465.2","1,407.0"
3/24/2024,"1,364.5","1,306.0","1,257.4","1,216.7","1,190.5","1,165.0","1,124.8","1,122.5","1,172.6","1,224.4","1,282.4","1,337.1","1,393.4","1,420.3","1,446.5","1,449.8","1,431.3","1,402.2","1,450.2","1,482.9","1,509.4","1,518.5","1,478.4","1,417.2"
3/25/2024,"1,347.4","1,285.1","1,244.6","1,198.5","1,171.1","1,193.4","1,216.9","1,404.2","1,510.1","1,599.1","1,676.4","1,720.4","1,723.1","1,801.5","1,815.7","1,826.9","1,784.4","1,648.5","1,639.4","1,644.7","1,617.8","1,599.5","1,547.9","1,466.4"
3/26/2024,"1,389.7","1,335.3","1,279.7","1,245.6","1,213.9","1,231.9","1,249.7","1,425.2","1,538.6","1,617.9","1,684.2","1,703.0","1,728.4","1,772.2","1,782.7","1,787.5","1,755.3","1,634.4","1,630.2","1,639.2","1,622.6","1,606.0","1,573.9","1,498.8"
3/27/2024,"1,419.9","1,346.0","1,288.2","1,246.6","1,213.3","1,258.1","1,270.3","1,445.9","1,549.6","1,647.1","1,697.7","1,734.7","1,747.5","1,793.4","1,804.8","1,767.3","1,711.3","1,594.0","1,611.2","1,625.4","1,617.3","1,578.6","1,535.3","1,468.4"
3/28/2024,"1,414.7","1,364.2","1,314.1","1,286.4","1,248.9","1,260.7","1,283.2","1,416.3","1,509.1","1,582.5","1,647.6","1,657.3","1,615.0","1,623.3","1,642.9","1,657.5","1,630.3","1,543.6","1,557.5","1,567.6","1,551.8","1,526.4","1,473.0","1,421.7"
